TimeStamp,BGA PC RFU,Chlorophyll RFU,Cond uS/cm,fDOM RFU,microFlu_TRP,pH,Signal strength,Temp C,Turbidity,Timestamp (UTC),Activity,Sample Numb.,origin,overall_dq_check
26-01-2026 15:00:00,0.88,0.16,206.81,12.45,19.59,8.01,-31.00,5.10,0.46,,,,Combined,PASS
26-01-2026 15:05:00,0.90,0.17,206.95,12.47,19.41,8.01,,5.10,0.43,,,,Combined,PASS
26-01-2026 15:10:00,0.84,0.16,207.01,12.43,19.82,8.01,,5.10,0.43,,,,Combined,PASS
26-01-2026 15:15:00,0.87,0.13,206.88,12.47,19.91,8.01,,5.11,0.42,,,,Combined,PASS
26-01-2026 15:20:00,0.93,0.14,206.85,12.52,18.90,8.01,,5.12,0.43,,,,Combined,PASS
26-01-2026 15:25:00,0.84,0.17,206.76,12.45,19.77,8.01,,5.11,0.40,26-01-2026 15:23:33,7.4277725,1,Combined,PASS
26-01-2026 15:30:00,0.87,0.12,206.88,12.45,19.25,8.01,,5.12,0.43,,,,Combined,PASS
26-01-2026 15:35:00,0.88,0.13,206.86,12.45,18.95,8.01,,5.12,0.40,,,,Combined,PASS
26-01-2026 15:40:00,0.87,0.13,206.92,12.45,19.04,8.01,,5.12,0.36,,,,Combined,PASS
26-01-2026 15:45:00,0.83,0.13,206.89,12.45,18.79,8.01,,5.12,0.40,,,,Combined,PASS
26-01-2026 15:50:00,0.94,0.42,206.98,12.45,19.29,8.01,,5.11,0.42,,,,Combined,PASS
26-01-2026 15:55:00,0.89,0.16,206.86,12.45,20.12,8.01,,5.12,0.41,,,,Combined,PASS
26-01-2026 16:00:00,0.91,0.15,206.90,12.45,18.54,8.00,-37.00,5.12,0.39,,,,Combined,PASS
